Actions,WIID,Description,Type,Status,Date
,74583889,Verify Account Position,WI1,Open,2018-04-01
,74583874,Research Client Check Copy,WI2,Open,2018-01-08
,74583854,Research Client Check Copy,WI2,Open,2020-06-08
,74583853,Process Vendor Invoice,WI3,Open,2018-09-26
,74583890,Verify Account Position,WI1,Open,2017-10-09
,74583881,Verify Account Position,WI1,Open,2020-01-11
,74583813,Calculate Client Security Hash,WI5,Open,2021-09-02
,74583851,Process Vendor Invoice,WI3,Open,2021-09-17
,74583868,Research Client Check Copy,WI2,Open,2019-04-11
,74583833,Generate Yearly Report for Vendor,WI4,Open,2018-05-04
,74583893,Verify Account Position,WI1,Open,2020-02-09
,74583857,Research Client Check Copy,WI2,Open,2019-02-06
,74583818,Calculate Client Security Hash,WI5,Open,2018-11-18
,74583898,Verify Account Position,WI1,Open,2018-12-12
,74583865,Research Client Check Copy,WI2,Open,2019-12-13
,74583867,Research Client Check Copy,WI2,Open,2019-09-14
,74583860,Research Client Check Copy,WI2,Open,2019-07-02
,74583872,Research Client Check Copy,WI2,Open,2019-08-29
,74583899,Verify Account Position,WI1,Open,2017-03-31
,74583825,Generate Yearly Report for Vendor,WI4,Open,2018-07-10
,74583817,Calculate Client Security Hash,WI5,Open,2017-08-03
,74583843,Process Vendor Invoice,WI3,Open,2020-02-06
,74583815,Calculate Client Security Hash,WI5,Open,2020-01-27
,74583844,Process Vendor Invoice,WI3,Open,2019-04-30
,74583820,Calculate Client Security Hash,WI5,Open,2017-08-13
,74583891,Verify Account Position,WI1,Open,2017-04-24
,74583859,Research Client Check Copy,WI2,Open,2017-04-30
,74583824,Calculate Client Security Hash,WI5,Open,2018-10-24
,74583897,Verify Account Position,WI1,Open,2019-07-12
,74583837,Generate Yearly Report for Vendor,WI4,Open,2020-09-06
,74583839,Generate Yearly Report for Vendor,WI4,Open,2021-07-27
,74583829,Generate Yearly Report for Vendor,WI4,Open,2021-02-06
,74583896,Verify Account Position,WI1,Open,2018-09-28
,74583814,Calculate Client Security Hash,WI5,Open,2019-02-03
,74583864,Research Client Check Copy,WI2,Open,2020-07-31
,74583816,Calculate Client Security Hash,WI5,Open,2017-06-15
,74583821,Calculate Client Security Hash,WI5,Open,2021-03-14
,74583883,Verify Account Position,WI1,Open,2018-02-01
,74583848,Process Vendor Invoice,WI3,Open,2019-07-23
,74583886,Verify Account Position,WI1,Open,2017-04-22
,74583849,Process Vendor Invoice,WI3,Open,2020-11-25
,74583826,Generate Yearly Report for Vendor,WI4,Open,2018-09-07
,74583863,Research Client Check Copy,WI2,Open,2019-11-21
,74583846,Process Vendor Invoice,WI3,Open,2020-11-10
,74583831,Generate Yearly Report for Vendor,WI4,Open,2019-04-23
,74583832,Generate Yearly Report for Vendor,WI4,Open,2021-01-26
,74583902,Verify Account Position,WI1,Open,2021-09-12
,74583840,Generate Yearly Report for Vendor,WI4,Open,2019-09-30
,74583887,Verify Account Position,WI1,Open,2017-02-01
,74583835,Generate Yearly Report for Vendor,WI4,Open,2019-05-29
,74583876,Research Client Check Copy,WI2,Open,2020-03-04
,74583900,Verify Account Position,WI1,Open,2018-11-03
,74583884,Verify Account Position,WI1,Open,2019-08-30
,74583875,Research Client Check Copy,WI2,Open,2019-03-23
,74583842,Generate Yearly Report for Vendor,WI4,Open,2017-10-26
,74583871,Research Client Check Copy,WI2,Open,2018-04-21
,74583819,Calculate Client Security Hash,WI5,Open,2019-10-28
,74583852,Process Vendor Invoice,WI3,Open,2018-12-11
,74583855,Research Client Check Copy,WI2,Open,2018-03-23
,74583827,Generate Yearly Report for Vendor,WI4,Open,2017-10-05
,74583895,Verify Account Position,WI1,Open,2020-05-07
,74583850,Process Vendor Invoice,WI3,Open,2019-05-10
,74583870,Research Client Check Copy,WI2,Open,2018-05-19
,74583879,Research Client Check Copy,WI2,Open,2020-04-02
,74583838,Generate Yearly Report for Vendor,WI4,Open,2017-03-05
,74583834,Generate Yearly Report for Vendor,WI4,Open,2017-12-07
,74583880,Verify Account Position,WI1,Open,2017-05-26
,74583866,Research Client Check Copy,WI2,Open,2021-07-23
,74583901,Verify Account Position,WI1,Open,2020-05-21
,74583858,Research Client Check Copy,WI2,Open,2019-03-23
,74583845,Process Vendor Invoice,WI3,Open,2021-02-25
,74583885,Verify Account Position,WI1,Open,2018-11-27
,74583904,Verify Account Position,WI1,Open,2021-01-04
,74583828,Generate Yearly Report for Vendor,WI4,Open,2019-10-05
,74583888,Verify Account Position,WI1,Open,2018-11-16
,74583903,Verify Account Position,WI1,Open,2017-11-11
,74583894,Verify Account Position,WI1,Open,2018-06-17
,74583873,Research Client Check Copy,WI2,Open,2018-02-07
,74583822,Calculate Client Security Hash,WI5,Open,2018-08-23
,74583861,Research Client Check Copy,WI2,Open,2019-10-25
,74583869,Research Client Check Copy,WI2,Open,2020-11-25
,74583847,Process Vendor Invoice,WI3,Open,2017-03-01
,74583877,Research Client Check Copy,WI2,Open,2021-03-24
,74583841,Generate Yearly Report for Vendor,WI4,Open,2017-12-23
,74583836,Generate Yearly Report for Vendor,WI4,Open,2017-07-08
,74583878,Research Client Check Copy,WI2,Open,2019-07-22
,74583830,Generate Yearly Report for Vendor,WI4,Open,2017-06-09
,74583892,Verify Account Position,WI1,Open,2017-10-31
,74583823,Calculate Client Security Hash,WI5,Open,2019-03-07
,74583882,Verify Account Position,WI1,Open,2018-04-26
,74583856,Research Client Check Copy,WI2,Open,2018-08-13
,74583862,Research Client Check Copy,WI2,Open,2021-09-21
